PER MOFM Air 450 750 nm emision

Labels,1 450.00 nm(Set 44)(LpTimeMap),2 460.00 nm(Set 44)(LpTimeMap),3 470.00 nm(Set 44)(LpTimeMap),4 480.00 nm(Set 44)(LpTimeMap),5 490.00 nm(Set 44)(LpTimeMap),6 500.00 nm(Set 44)(LpTimeMap),7 510.00 nm(Set 44)(LpTimeMap),8 520.00 nm(Set 44)(LpTimeMap),9 530.00 nm(Set 44)(LpTimeMap),10 540.00 nm(Set 44)(LpTimeMap),1 550.00 nm(Set 43)(LpTimeMap),2 560.00 nm(Set 43)(LpTimeMap),3 570.00 nm(Set 43)(LpTimeMap),4 580.00 nm(Set 43)(LpTimeMap),5 590.00 nm(Set 43)(LpTimeMap),6 600.00 nm(Set 43)(LpTimeMap),7 610.00 nm(Set 43)(LpTimeMap),8 620.00 nm(Set 43)(LpTimeMap),9 630.00 nm(Set 43)(LpTimeMap),10 640.00 nm(Set 43)(LpTimeMap),11 650.00 nm(Set 43)(LpTimeMap),12 660.00 nm(Set 43)(LpTimeMap),13 670.00 nm(Set 43)(LpTimeMap),14 680.00 nm(Set 43)(LpTimeMap),15 690.00 nm(Set 43)(LpTimeMap),16 700.00 nm(Set 43)(LpTimeMap),17 710.00 nm(Set 43)(LpTimeMap),18 720.00 nm(Set 43)(LpTimeMap),19 730.00 nm(Set 43)(LpTimeMap),20 740.00 nm(Set 43)(LpTimeMap),21 750.00 nm(Set 43)(LpTimeMap),
Type,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,LP Time Scan,
Comment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Stop,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,199.800,
Step,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,
Fixed/Offset, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,
XAxis,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,Time,
YAxis,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,Volts,

0.00,-2.35178653E-4,-2.01017922E-3,-2.30392860E-3,-3.98517866E-3,-3.21642845E-3,-3.29767866E-3,-1.81642896E-3,-1.46017899E-3,-3.62892891E-3,-6.42267894E-3,-3.13608442E-3,-8.29834142E-4,9.51657057E-5,-4.49858466E-3,-3.24858469E-3,-3.90483439E-3,-4.51108441E-3,-6.22983463E-3,-9.85841252E-5,-3.73608433E-3,-1.90483476E-3,3.20141600E-3,-6.61084254E-4,-2.31108442E-3,-6.79834397E-4,-2.29858421E-3,-3.77358450E-3,-2.56108446E-3,-4.58608475E-3,-1.14858453E-3,-1.40483445E-3,
0.200,3.18357116E-3,-5.01642888E-3,-2.37267837E-3,3.95232160E-3,-3.32892872E-3,-4.49767848E-3,-4.60178591E-4,2.20857142E-3,-2.52267905E-3,-4.84142872E-3,-4.57983464E-3,-3.59233445E-3,1.13266578E-3,-2.15483434E-3,-3.22983437E-3,-1.29233452E-3,-3.06733442E-3,-3.81733431E-3,-5.54834201E-4,-2.47983425E-3,-2.32983427E-3,-2.89858459E-3,-9.98584321E-4,2.63915776E-4,-3.47983418E-3,-4.48584469E-4,-3.84233450E-3,-2.39233440E-3,-9.32983402E-3,-4.86108474E-3,-3.07358452E-3,
0.400,-1.66017888E-3,7.27321312E-4,-1.91428699E-4,-2.38517881E-3,-1.56642869E-3,-1.56642846E-3,4.77321213E-4,3.19607160E-3,-2.49142875E-3,-5.24142897E-3,-1.39233423E-3,-1.24233426E-3,-4.44858475E-3,-7.42334523E-4,-3.11108446E-3,1.93891581E-3,-6.24233438E-3,-5.57983480E-3,-3.95483430E-3,2.46391585E-3,-1.92983425E-3,-9.17333819E-4,-7.84858409E-3,-1.43608416E-3,-3.77358403E-3,-4.98584297E-4,-4.61733481E-3,-4.46733460E-3,-3.71733494E-3,-6.21108478E-3,1.42016564E-3,
0.600,2.20232131E-3,6.64821360E-4,-4.20392910E-3,2.74607120E-3,2.14607129E-3,-2.91428703E-4,-4.35392885E-3,-3.98517866E-3,-7.12267868E-3,-3.47267906E-3,-2.29233433E-3,-2.46108440E-3,-2.72358442E-3,-3.89858428E-3,-4.85843047E-5,-2.61084351E-4,-8.59858561E-3,-8.01108405E-3,-3.06108454E-3,-2.72358418E-3,-2.19233427E-3,-1.14858430E-3,-1.61108433E-3,-3.03608435E-3,-4.22358466E-3,1.20165547E-4,-8.09233543E-3,-3.22983461E-3,-2.39858427E-3,-2.06108438E-3,-2.36084219E-4,
0.800,8.08571465E-4,-1.66017853E-3,-9.91428620E-4,-2.09767907E-3,-1.39767886E-3,-3.29767866E-3,-3.86642874E-3,9.96071147E-4,-1.59767875E-3,-4.16642893E-3,-2.17983453E-3,-6.72358461E-3,1.39156355E-5,-2.29858421E-3,8.82665976E-4,-6.38608448E-3,-7.02358410E-3,-5.27358428E-3,-2.19858461E-3,-1.31108437E-3,-2.46108440E-3,-4.73584223E-4,-6.70483429E-3,-2.20483448E-3,-4.90483455E-3,-5.11084334E-4,-8.81733466E-3,-6.11084513E-4,-3.84858483E-3,-4.77358419E-3,-6.23584259E-4,
1.00,-1.07892859E-3,7.08571286E-4,-4.34767921E-3,-1.22892868E-3,-3.26642883E-3,-2.41017900E-3,-6.37892820E-3,-2.41017877E-3,-4.44142846E-3,-4.80392901E-3,2.42641568E-3,6.76415686E-4,-1.74233387E-3,-4.53608483E-3,-7.98344627E-5,-3.76733416E-3,-6.49233488E-3,-7.12358486E-3,-5.46733476E-3,-2.61108461E-3,-4.78608441E-3,-1.66108436E-3,-7.32358452E-3,-5.31733455E-3,-2.12983461E-3,-2.91108433E-3,-3.74858454E-3,-3.67358467E-3,-1.59233448E-3,-5.42983459E-3,-3.40483454E-3,
1.20,-2.80392892E-3,1.61482138E-3,-4.56017908E-3,2.83982162E-3,-2.15392886E-3,-5.03517920E-3,-1.96017884E-3,-1.11642887E-3,-4.42267861E-3,-7.36017898E-3,-2.18608417E-3,-1.99233415E-3,-3.94858420E-3,-2.23608455E-3,-1.84858427E-3,-5.27983438E-3,-4.46108403E-3,-6.22358499E-3,-8.48584168E-4,-2.23584502E-4,-4.32983413E-3,-1.30483415E-3,-7.87983462E-3,-4.68608411E-3,-3.78608447E-3,-7.00483471E-3,-4.66108462E-3,-1.63608429E-3,-2.97983456E-3,-1.01108430E-3,3.38915881E-4,
